Name,UID,Condensate Type,Species Tax Id,Proteins,DNA,RNA,C-mods,Condensatopathy,Confidence Score
"Stress granule","D12E4DB9","biomolecular","10090","25","No","Yes","Yes","No","1"
"Stress granule","3E806696","biomolecular","9031","1","No","No","No","No","1"
"Stress granule","40C311B2","biomolecular","11706","1","No","No","No","No","1"
"Stress Granule","5E9136F1","biomolecular","39947","20","No","No","No","No","2"
"Stress Granule","E03AA123","biomolecular","235443","3","No","No","No","No","5"
"Stress Granule","5E22074F","biomolecular","5811","33","No","No","No","No","2"
"Sup35 condensate","F3106323","biomolecular","559292","1","No","No","No","No","5"
"Sup35 condensate","89D152D3","biomolecular","284812","1","No","No","No","No","5"
"Synthetic Condensate 000001","6D84B01C","synthetic","0","2","No","No","No","No","3"
"Synthetic Condensate 000002","403A9DB1","synthetic","8355","1","No","No","No","No","3"
"Synthetic Condensate 000003","1CD3856C","synthetic","9606","3","No","No","No","No","3"
"Synthetic Condensate 000004","60F74988","synthetic","9606","2","No","No","No","No","1"
"Synthetic Condensate 000005","60893955","synthetic","0","2","No","No","No","No","3"
"Synthetic Condensate 000006","0CEEA3E8","synthetic","0","3","No","No","No","No","3"
"Synthetic Condensate 000007","B8725CFA","synthetic","9606","2","No","No","No","No","1"
"Synthetic Condensate 000008","943B2789","synthetic","9606","2","No","No","No","No","3"
"Synthetic Condensate 000009","26E28FFB","synthetic","559292","1","No","No","No","No","1"
"Synthetic Condensate 000010","832870F1","synthetic","0","2","No","No","No","No","3"
"Synthetic Condensate 000011","6DA31C6B","synthetic","9606","2","No","No","No","No","3"
"Synthetic Condensate 000012","37C8BA2F","synthetic","284811","1","No","No","No","No","1"
"Synthetic Condensate 000013","C22D95C0","synthetic","9606","1","No","No","Yes","No","1"
"Synthetic Condensate 000014","9A9D7F4D","synthetic","9606","2","No","No","No","No","1"
"Synthetic Condensate 000015","2CF52CF0","synthetic","9606","2","No","No","No","No","3"
"Synthetic Condensate 000016","FF9FC9E0","synthetic","6239","1","No","No","No","No","1"
"Synthetic Condensate 000017","1422620B","synthetic","9606","2","No","No","No","No","3"
"Synthetic Condensate 000018","CABCA76D","synthetic","0","2","No","No","No","No","3"
"Synthetic Condensate 000019","F4417166","synthetic","9606","1","No","No","No","No","1"
"Synthetic Condensate 000020","74574544","synthetic","0","2","No","No","No","No","3"
"Synthetic Condensate 000021","AC87FF17","synthetic","0","2","No","No","No","No","3"
"Synthetic Condensate 000022","9568789E","synthetic","9606","2","No","No","No","No","3"
"Synthetic Condensate 000023","31BA30E7","synthetic","9606","1","No","No","No","No","1"
"Synthetic Condensate 000024","2F09078B","synthetic","0","2","No","No","No","No","3"
"Synthetic Condensate 000025","1249081A","synthetic","9606","1","No","No","No","No","1"
"Synthetic Condensate 000026","95FADA74","synthetic","9606","2","No","No","No","No","3"
"Synthetic Condensate 000027","1855AB2E","synthetic","9606","2","No","No","No","No","3"
"Synthetic Condensate 000028","2857FDAA","synthetic","9606","2","No","No","No","No","3"
"Synthetic Condensate 000029","22369FCF","synthetic","0","2","No","No","No","No","1"
"Synthetic Condensate 000030","BD836276","synthetic","0","2","No","No","No","No","3"
"Synthetic Condensate 000031","01ADBBD5","synthetic","9606","2","No","No","No","No","3"
"Synthetic Condensate 000032","67BDA0FF","synthetic","9606","3","No","No","No","No","3"
"Synthetic Condensate 000033","979E1F4B","synthetic","0","3","No","No","No","No","3"
"Synthetic Condensate 000034","9D926880","synthetic","0","2","No","No","No","No","3"
"Synthetic Condensate 000035","6F314257","synthetic","559292","1","No","No","No","No","1"
"Synthetic Condensate 000036","041D4500","synthetic","9606","2","No","No","No","No","1"
"Synthetic Condensate 000037","2F7EB6DB","synthetic","559292","1","No","No","No","No","3"
"Synthetic Condensate 000038","99286EFB","synthetic","559292","1","No","No","No","No","3"
"Synthetic Condensate 000039","7ADEF05E","synthetic","9606","3","No","No","No","No","0"
"Synthetic Condensate 000040","28618213","synthetic","0","2","No","No","No","No","1"
"Synthetic Condensate 000041","CB5A3F31","synthetic","6239","1","No","No","No","No","1"
"Synthetic Condensate 000042","7D39771A","synthetic","284812","1","No","No","No","No","3"
"Synthetic Condensate 000043","CBF57B02","synthetic","9606","2","No","No","No","No","1"
"Synthetic Condensate 000044","9E412E21","synthetic","9606","1","No","No","No","No","1"
"Synthetic Condensate 000045","1070A586","synthetic","9606","4","No","No","No","No","3"
"Synthetic Condensate 000046","452A98AF","synthetic","10090","1","No","No","No","No","1"
"Synthetic Condensate 000047","25CCE98C","synthetic","9606","2","No","No","No","No","3"
"Synthetic Condensate 000048","CEC93CD4","synthetic","0","3","No","No","No","No","3"
"Synthetic Condensate 000049","71F78BB1","synthetic","9606","2","No","No","No","No","1"
"Synthetic Condensate 000050","FF78ADB9","synthetic","0","3","No","No","No","No","3"
"Synthetic Condensate 000051","D551D4B1","synthetic","0","2","No","No","No","No","3"
"Synthetic Condensate 000052","6AB35885","synthetic","9606","2","No","No","No","No","3"
"Synthetic Condensate 000053","33BF1E0E","synthetic","0","3","No","No","No","No","3"
"Synthetic Condensate 000054","11FDE679","synthetic","9606","1","No","No","No","No","1"
"Synthetic Condensate 000055","D83843FA","synthetic","9606","1","No","No","No","No","1"
"Synthetic Condensate 000056","2B18F727","synthetic","0","2","No","No","No","No","3"
"Synthetic Condensate 000057","85C30F04","synthetic","9606","2","No","No","No","No","3"
"Synthetic Condensate 000058","ED4B3785","synthetic","9606","1","No","No","Yes","No","1"
"Synthetic Condensate 000059","92722620","synthetic","9606","1","No","No","No","No","1"
"Synthetic Condensate 000060","07A7ED5B","synthetic","6239","1","No","No","No","No","3"
"Synthetic Condensate 000061","A3AA02E8","synthetic","9606","2","No","No","No","No","3"
"Synthetic Condensate 000062","9F05356D","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000063","984F3092","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000064","5E3205E2","synthetic","9606","1","No","No","No","No","1"
"Synthetic Condensate 000065","6E49930B","synthetic","559292","1","No","No","No","No","3"
"Synthetic Condensate 000066","98A5DA6D","synthetic","9606","2","No","No","No","No","3"
"Synthetic Condensate 000067","7DC50CA0","synthetic","6239","1","No","No","No","No","1"
"Synthetic Condensate 000068","43F5F736","synthetic","0","3","No","No","No","No","3"
"Synthetic Condensate 000069","8DF372A2","synthetic","9606","2","No","No","No","No","3"
"Synthetic Condensate 000070","EF6CBD8C","synthetic","9606","2","No","No","No","No","3"
"Synthetic Condensate 000071","6340D055","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000072","139BF52E","synthetic","9606","2","No","No","No","No","1"
"Synthetic Condensate 000073","0F0CDB11","synthetic","6239","2","No","No","No","No","3"
"Synthetic Condensate 000074","03FC3A53","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000075","75CAE956","synthetic","6239","2","No","No","No","No","3"
"Synthetic Condensate 000076","C65B6D56","synthetic","9606","2","No","No","No","No","3"
"Synthetic Condensate 000077","985E7A25","synthetic","6239","3","No","No","No","No","3"
"Synthetic Condensate 000078","17687E46","synthetic","0","2","No","No","No","No","3"
"Synthetic Condensate 000079","C05F05FE","synthetic","9606","3","No","No","No","No","3"
"Synthetic Condensate 000080","A58C613A","synthetic","9606","3","No","No","No","No","3"
"Synthetic Condensate 000081","8E58DEA8","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000082","F6300417","synthetic","6239","4","No","No","No","No","3"
"Synthetic Condensate 000083","FF4E772B","synthetic","9606","2","No","No","No","No","3"
"Synthetic Condensate 000084","CE90FC77","synthetic","284812","1","No","No","No","No","1"
"Synthetic Condensate 000085","075799D7","synthetic","9606","1","No","No","No","No","1"
"Synthetic Condensate 000086","6625DDE5","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000087","7FF43F25","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000088","97081F97","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000089","AB997901","synthetic","9606","4","No","No","No","No","3"
"Synthetic Condensate 000090","D0F20FEF","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000091","552B0C4E","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000092","1822EB5E","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000093","5D9BA5D6","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000094","BADB2D85","synthetic","284812","2","No","No","No","No","3"
"Synthetic Condensate 000095","EA2D28A3","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000096","F5639AB0","synthetic","9606","3","No","No","No","No","3"
"Synthetic Condensate 000097","2665D7F9","synthetic","6239","1","No","No","No","No","3"
"Synthetic Condensate 000098","5C1EA71F","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000099","48F3BEDE","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000100","5113914A","synthetic","284812","3","No","No","No","No","1"
"Synthetic Condensate 000101","9DBDF226","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000102","240400BD","synthetic","6239","2","No","No","No","No","3"
"Synthetic Condensate 000103","D9713D2F","synthetic","6239","1","No","No","No","No","3"
"Synthetic Condensate 000104","B61E46D6","synthetic","10090","1","No","No","No","No","3"
"Synthetic Condensate 000105","0B2C2654","synthetic","9606","1","No","No","No","No","1"
"Synthetic Condensate 000106","5A404BB6","synthetic","6239","2","No","No","No","No","3"
"Synthetic Condensate 000107","EC23E69A","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000108","2839F8E0","synthetic","6239","3","No","No","No","No","3"
"Synthetic Condensate 000109","C4E5F0B6","synthetic","9606","1","No","No","No","No","1"
"Synthetic Condensate 000110","C2ED57FB","synthetic","9606","2","No","No","No","No","3"
"Synthetic Condensate 000111","777112DF","synthetic","559292","1","No","No","No","No","3"
"Synthetic Condensate 000112","84137BFC","synthetic","9606","2","No","No","No","No","3"
"Synthetic Condensate 000113","6449F681","synthetic","9606","1","No","No","No","No","1"
"Synthetic Condensate 000114","3E1EA7A0","synthetic","83333","1","No","No","No","No","1"
"Synthetic Condensate 000115","0B6FB1B0","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000116","6C24B33F","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000117","A3E85EF1","synthetic","9606","1","No","No","No","No","1"
"Synthetic Condensate 000118","4543C70E","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000119","5D403D55","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000120","917A6517","synthetic","0","2","No","No","No","No","3"
"Synthetic Condensate 000121","0D48A13A","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000122","873B6374","synthetic","45920","1","No","No","No","No","3"
"Synthetic Condensate 000123","1D5AA081","synthetic","559292","1","No","No","No","No","1"
"Synthetic Condensate 000124","8E4C2D28","synthetic","0","2","No","No","No","No","3"
"Synthetic Condensate 000125","7A2E2A6F","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000126","A310D5D6","synthetic","0","2","No","No","No","No","1"
"Synthetic Condensate 000127","DCE83E39","synthetic","6239","2","No","No","No","No","3"
"Synthetic Condensate 000128","A1835F71","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000129","DFB52F78","synthetic","9606","2","No","No","No","No","3"
"Synthetic Condensate 000130","D9514D20","synthetic","559292","2","No","No","No","No","1"
"Synthetic Condensate 000131","C93AFFD2","synthetic","9606","2","No","No","No","No","3"
"Synthetic Condensate 000132","49499F59","synthetic","6239","4","No","No","No","No","3"
"Synthetic Condensate 000133","950B8BA2","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000134","28F07613","synthetic","559292","1","No","No","No","No","3"
"Synthetic Condensate 000135","A5E21351","synthetic","0","2","No","No","No","No","3"
"Synthetic Condensate 000136","D8841629","synthetic","6239","2","No","No","No","No","3"
"Synthetic Condensate 000137","50E9090F","synthetic","6239","1","No","No","No","No","3"
"Synthetic Condensate 000138","863EAD4F","synthetic","3055","1","No","No","No","No","3"
"Synthetic Condensate 000139","AC4402D9","synthetic","346249","1","No","No","No","No","3"
"Synthetic Condensate 000140","5AAA2F68","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000141","AF5F0395","synthetic","6239","1","No","No","No","No","1"
"Synthetic Condensate 000142","12F82FB5","synthetic","0","2","No","No","No","No","3"
"Synthetic Condensate 000143","2C639066","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000144","07D09420","synthetic","6100","1","No","No","No","No","1"
"Synthetic Condensate 000145","5ED75EB5","synthetic","0","2","No","No","No","No","3"
"Synthetic Condensate 000146","A3406C3E","synthetic","6239","1","No","No","No","No","3"
"Synthetic Condensate 000147","CDDB7C63","synthetic","0","2","No","No","No","No","3"
"Synthetic Condensate 000148","25ECCE88","synthetic","3055","1","No","No","No","No","3"
"Synthetic Condensate 000149","9AFE287E","synthetic","36200","1","No","No","No","No","3"
"Synthetic Condensate 000150","ECE45DA7","synthetic","36200","1","No","No","No","No","3"
"Synthetic Condensate 000151","33B67FEA","synthetic","36200","1","No","No","No","No","3"
"Synthetic Condensate 000152","EED4A971","synthetic","0","3","No","No","No","No","3"
"Synthetic Condensate 000153","A21D42E2","synthetic","9606","1","No","No","No","No","1"
"Synthetic Condensate 000154","93AE757A","synthetic","3055","2","No","No","No","No","3"
"Synthetic Condensate 000155","EEE9EDCA","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000156","F74784B8","synthetic","190650","1","No","No","No","No","3"
"Synthetic Condensate 000157","37FB04D7","synthetic","36200","1","No","No","No","No","3"
"Synthetic Condensate 000158","84374B0C","synthetic","0","3","No","No","No","No","3"
"Synthetic Condensate 000159","294DEF4F","synthetic","0","2","No","No","No","No","3"
"Synthetic Condensate 000160","B70647E2","synthetic","0","3","No","No","No","No","3"
"Synthetic Condensate 000161","502D4027","synthetic","36200","1","No","No","No","No","3"
"Synthetic Condensate 000162","9321DD1F","synthetic","0","3","No","No","No","No","3"
"Synthetic Condensate 000163","EFCB6399","synthetic","36200","1","No","No","No","No","3"
"Synthetic Condensate 000164","6E3E4A3C","synthetic","10359","1","No","No","No","No","1"
"Synthetic Condensate 000165","E0298522","synthetic","9606","2","No","No","No","No","1"
"Synthetic Condensate 000166","15E3C9A9","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000167","46DAEB10","synthetic","0","2","No","No","No","No","3"
"Synthetic Condensate 000168","170524B4","synthetic","0","3","No","No","No","No","1"
"Synthetic Condensate 000169","7EC67CCE","synthetic","0","2","No","No","No","No","3"
"Synthetic Condensate 000170","DBAF6C49","synthetic","9606","2","No","No","No","No","3"
"Synthetic Condensate 000171","7F3F31A7","synthetic","0","2","No","No","No","No","3"
"Synthetic Condensate 000172","0F455885","synthetic","6239","2","No","No","No","No","3"
"Synthetic Condensate 000173","2217B16D","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000174","02CD31EB","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000175","06422D8E","synthetic","9606","1","No","No","No","No","1"
"Synthetic Condensate 000176","B6F3E647","synthetic","0","2","No","No","No","No","1"
"Synthetic Condensate 000177","5506006C","synthetic","9606","2","No","No","No","No","3"
"Synthetic Condensate 000178","0DCC03B3","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000179","CC266C53","synthetic","9606","2","No","No","No","No","3"
"Synthetic Condensate 000180","634B234B","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000181","CF22E771","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000182","6BD4AB7A","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000183","A32542C0","synthetic","10360","1","No","No","No","No","3"
"Synthetic Condensate 000184","898BF675","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000185","7231FD3C","synthetic","9606","2","No","No","No","No","3"
"Synthetic Condensate 000186","1ED00101","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000187","BADFB975","synthetic","9606","2","No","No","No","No","3"
"Synthetic Condensate 000188","20D775CC","synthetic","9606","2","No","No","No","No","3"
"Synthetic Condensate 000189","B9AD63BA","synthetic","9606","2","No","No","No","No","3"
"Synthetic Condensate 000190","77377E79","synthetic","9606","1","No","No","No","No","0"
"Synthetic Condensate 000191","A1A97FAB","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000192","50D32664","synthetic","9606","2","No","No","No","No","3"
"Synthetic Condensate 000193","3209C5A5","synthetic","6239","1","No","No","No","No","3"
"Synthetic Condensate 000194","E95823B6","synthetic","559292","2","No","No","No","No","3"
"Synthetic Condensate 000195","E11B6BAB","synthetic","9606","2","No","No","No","No","3"
"Synthetic Condensate 000196","6D2E8C29","synthetic","8355","1","No","No","No","No","1"
"Synthetic Condensate 000197","279CD642","synthetic","559292","1","No","No","No","No","3"
"Synthetic Condensate 000198","AD0C696C","synthetic","7227","1","No","No","No","No","3"
"Synthetic Condensate 000199","C34F94B5","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000200","178CF9FC","synthetic","9606","2","No","No","No","No","0"
"Synthetic Condensate 000201","3BAE19B2","synthetic","559292","1","No","No","No","No","3"
"Synthetic Condensate 000202","AB75B18A","synthetic","7227","1","No","No","No","No","3"
"Synthetic Condensate 000203","65A6D83D","synthetic","7227","1","No","No","No","No","3"
"Synthetic Condensate 000204","BF2F133A","synthetic","9606","2","No","No","No","No","3"
"Synthetic Condensate 000205","DD124B01","synthetic","7227","2","No","No","No","No","3"
"Synthetic Condensate 000206","0769205F","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000207","16670A7A","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000208","F4B231E0","synthetic","9606","2","No","No","No","No","3"
"Synthetic Condensate 000209","671877C5","synthetic","9606","2","No","No","No","No","3"
"Synthetic Condensate 000210","A0C76C25","synthetic","8355","1","No","No","No","No","3"
"Synthetic Condensate 000211","783B6188","synthetic","9031","2","No","No","No","No","3"
"Synthetic Condensate 000212","42323686","synthetic","1140","1","No","No","No","No","3"
"Synthetic Condensate 000213","9F5326C7","synthetic","10090","1","No","No","No","No","3"
"Synthetic Condensate 000214","B19EA3C3","synthetic","9031","1","No","No","No","No","3"
"Synthetic Condensate 000215","95CA54FE","synthetic","9606","2","No","No","No","No","3"
"Synthetic Condensate 000216","DFAB25C5","synthetic","9031","1","No","No","No","No","3"
"Synthetic Condensate 000217","C6D11C2A","synthetic","10090","1","No","No","No","No","3"
"Synthetic Condensate 000218","870FBEC9","synthetic","9031","1","No","No","No","No","1"
"Synthetic Condensate 000219","97E999E0","synthetic","6239","2","No","No","No","No","3"
"Synthetic Condensate 000220","86211E4F","synthetic","83333","1","No","No","No","No","3"
"Synthetic Condensate 000221","29B486D9","synthetic","269084","2","No","No","No","No","3"
"Synthetic Condensate 000222","88CBB25B","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000223","7BA5F8B6","synthetic","83333","2","No","No","No","No","3"
"Synthetic Condensate 000224","69D46933","synthetic","4565","1","No","No","No","No","3"
"Synthetic Condensate 000225","6EF1C41E","synthetic","0","3","No","No","No","No","3"
"Synthetic Condensate 000226","A53DF2F0","synthetic","10090","1","No","No","No","No","3"
"Synthetic Condensate 000227","E9A74F70","synthetic","10090","1","No","No","No","No","3"
"Synthetic Condensate 000228","848A4BCD","synthetic","0","2","No","No","No","No","3"
"Synthetic Condensate 000229","6DD039B3","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000230","1EC76F9B","synthetic","6549","1","No","No","No","No","3"
"Synthetic Condensate 000231","9800A23F","synthetic","0","4","No","No","No","No","3"
"Synthetic Condensate 000232","29DC92C3","synthetic","9606","2","No","No","No","No","0"
"Synthetic Condensate 000233","A81FC5A0","synthetic","0","5","No","No","No","No","3"
"Synthetic Condensate 000234","B30D3E4B","synthetic","6239","2","No","No","No","No","3"
"Synthetic Condensate 000235","DAAE2994","synthetic","559292","1","No","No","No","No","3"
"Synthetic Condensate 000236","A771B61B","synthetic","559292","2","No","No","No","No","3"
"Synthetic Condensate 000237","6D6C8CDE","synthetic","0","3","No","No","No","No","3"
"Synthetic Condensate 000238","FCE689D0","synthetic","0","5","No","No","No","No","3"
"Synthetic Condensate 000239","34EE5EA1","synthetic","346249","1","No","No","No","No","3"
"Synthetic Condensate 000240","88B1263E","synthetic","0","4","No","No","No","No","3"
"Synthetic Condensate 000241","DFF57E3B","synthetic","559292","3","No","No","No","No","3"
"Synthetic Condensate 000242","0C73AF1D","synthetic","10090","1","No","No","No","No","3"
"Synthetic Condensate 000243","D23CAB07","synthetic","0","4","No","No","No","No","3"
"Synthetic Condensate 000244","F7E61417","synthetic","0","2","No","No","No","No","3"
"Synthetic Condensate 000245","A08D2591","synthetic","0","5","No","No","No","No","3"
"Synthetic Condensate 000246","4270DBEE","synthetic","10116","1","No","No","No","No","3"
"Synthetic Condensate 000247","624CA2FF","synthetic","0","3","No","No","No","No","3"
"Synthetic Condensate 000248","1AFBA5D2","synthetic","559292","1","No","No","No","No","3"
"Synthetic Condensate 000249","47E1BA53","synthetic","9606","1","No","No","No","No","1"
"Synthetic Condensate 000250","67447146","synthetic","9913","1","No","No","No","No","3"
"Synthetic Condensate 000251","E5DE0AD2","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000252","A7832E2F","synthetic","3702","1","No","No","No","No","3"
"Synthetic Condensate 000253","94A6FFB4","synthetic","0","3","No","No","No","No","3"
"Synthetic Condensate 000254","9C0C01E2","synthetic","0","2","No","No","No","No","3"
"Synthetic Condensate 000255","80EB2636","synthetic","9606","3","No","No","No","No","3"
"Synthetic Condensate 000256","28F24DDF","synthetic","0","2","No","No","No","No","3"
"Synthetic Condensate 000257","BC3C46DC","synthetic","9606","2","No","No","No","No","3"
"Synthetic Condensate 000258","77264BD3","synthetic","9606","2","No","No","No","No","3"
"Synthetic Condensate 000259","694DAD9E","synthetic","9606","2","No","No","No","No","3"
"Synthetic Condensate 000260","500EDC60","synthetic","0","4","No","No","No","No","3"
"Synthetic Condensate 000261","3C2A39A9","synthetic","284812","1","No","No","No","No","3"
"Synthetic Condensate 000262","7F2B39AE","synthetic","9606","1","No","No","No","No","3"
"Synthetic Condensate 000263","558B70E9","synthetic","7227","1","No","No","No","No","3"
"Synthetic Condensate 000264","41EA8E74","synthetic","3562","1","No","No","No","No","3"
"Synthetic Condensate 000265","900B1AFC","synthetic","735330","1","No","No","No","No","3"
"Synthetic Condensate 000266","1209505D","synthetic","83333","1","No","No","No","No","3"
"Synthetic Condensate 000267","21A3CED6","synthetic","0","3","No","No","No","No","3"
"Synthetic Condensate 000268","5E466542","synthetic","64091","1","No","No","No","No","3"
"Synthetic Condensate 000269","F11B6494","synthetic","9606","2","No","No","No","No","1"
"Synthetic Condensate 000270","89D22CC2","synthetic","9606","4","No","No","No","No","1"
"Synthetic Condensate 000271","33D42E40","synthetic","9606","2","No","No","No","No","1"
"Synthetic Condensate 000272","A3F53DF0","synthetic","9606","3","No","No","No","No","1"
"Synthetic Condensate 000273","950D9077","synthetic","9606","2","No","No","No","No","1"
"Synthetic Condensate 000274","D57F7ABA","synthetic","0","4","No","No","No","No","1"
"Synthetic Condensate 000275","FBBE2A73","synthetic","9606","2","No","No","No","No","1"
"Synthetic Condensate 000276","017348A2","synthetic","10090","2","No","No","No","No","1"
"Synthetic Condensate 000277","38BEFE36","synthetic","9606","2","No","No","No","No","1"
"Synthetic Condensate 000278","F9F5AA60","synthetic","9606","2","No","No","No","No","1"
"Synthetic Condensate 000279","86739B61","synthetic","9606","2","No","No","No","No","1"
"Synthetic Condensate 000280","FA66C19F","synthetic","9606","2","No","No","Yes","No","1"
"Synthetic Condensate 000281","6209F224","synthetic","0","10","No","No","No","No","1"
"Synthetic Condensate 000282","00C0C35B","synthetic","559292","3","No","No","No","No","1"
"Synthetic Condensate 000283","58F5AC37","synthetic","9606","4","No","No","No","No","1"
"Synthetic Condensate 000284","2C224C76","synthetic","0","3","No","No","No","No","1"
"Synthetic Condensate 000285","A42DF0C6","synthetic","0","2","No","No","No","No","1"
"Synthetic Condensate 000286","D47533BE","synthetic","8355","2","No","No","No","No","1"
"Synthetic Condensate 000287","589474B0","synthetic","0","3","No","No","No","No","1"
"Synthetic Condensate 000288","3C81F809","synthetic","9606","2","No","No","No","No","1"
"Synthetic Condensate 000289","214630CE","synthetic","7227","2","No","No","No","No","1"
"Synthetic Condensate 000290","D9D613FC","synthetic","7227","2","No","No","No","No","1"
"Synthetic Condensate 000291","FBAE0D06","synthetic","0","3","No","No","No","No","1"
"Synthetic Condensate 000292","9355EE84","synthetic","9606","3","No","No","No","No","1"
"Synthetic Condensate 000293","5D6181E1","synthetic","9606","3","No","No","No","No","1"
"Synthetic Condensate 000294","51D569B1","synthetic","10116","2","No","No","No","No","1"
"Synthetic Condensate 000295","2CE6B729","synthetic","9606","2","No","No","No","No","1"
"Synthetic Condensate 000296","EBDFEA1F","synthetic","9606","2","No","No","No","No","1"
"Synthetic Condensate 000297","D8D47D1F","synthetic","9606","2","No","No","No","No","1"
"Synthetic Condensate 000298","D936E305","synthetic","9606","2","No","No","No","No","1"
"Synthetic Condensate 000299","E9C70067","synthetic","7227","2","No","No","No","No","1"
"Synthetic Condensate 000300","F15C9420","synthetic","9606","2","No","No","No","No","1"
"Synthetic Condensate 000301","B7348731","synthetic","0","3","No","No","No","No","1"
"Synthetic Condensate 000302","E3E4F6CC","synthetic","0","2","No","No","No","No","1"
"Synthetic Condensate 000303","6838ABCD","synthetic","3702","2","No","No","No","No","1"
"Synthetic Condensate 000304","7A2955EF","synthetic","0","2","No","No","Yes","No","1"
"Synthetic Condensate 000305","D212AE19","synthetic","9606","3","No","No","No","No","1"
"Synthetic Condensate 000306","D0109C64","synthetic","0","2","No","No","No","No","1"
"Synthetic Condensate 000307","1A926453","synthetic","9606","2","No","No","No","No","1"
"Synthetic Condensate 000308","BC554416","synthetic","10090","3","No","No","No","No","1"
"Synthetic Condensate 000309","C1EEEEF5","synthetic","9606","2","No","No","No","No","1"
"Synthetic Condensate 000310","F5834E66","synthetic","9606","5","No","No","No","No","1"
"Synthetic Condensate 000311","D4281DD4","synthetic","10090","2","No","No","No","No","1"
"Synthetic Condensate 000312","3521A8E2","synthetic","0","5","No","No","No","No","1"
"Synthetic Condensate 000313","2612F8DB","synthetic","0","2","No","No","No","No","1"
"Synthetic Condensate 000314","00EEF43C","synthetic","83332","3","No","No","No","No","1"
"Synthetic Condensate 000315","01BEC43A","synthetic","11285","3","No","No","No","No","1"
"Synthetic Condensate 000316","D41CB90A","synthetic","10090","2","No","No","No","No","1"
"Synthetic Condensate 000317","11D8DE05","synthetic","9606","2","No","No","No","No","1"
"Synthetic Condensate 000318","D70B1BED","synthetic","10090","2","No","No","No","No","1"
"Synthetic Condensate 000319","318A8771","synthetic","9606","4","No","No","No","No","1"
"Synthetic Condensate 000320","A13F0EB5","synthetic","9606","2","No","No","No","No","1"
"Synthetic Condensate 000321","348497F3","synthetic","0","2","No","No","No","No","1"
"Synthetic Condensate 000322","3F4CB227","synthetic","0","4","No","No","No","No","1"
"Synthetic Condensate 000323","4F7E7B13","synthetic","0","2","No","No","No","No","1"
"Synthetic Condensate 000324","8BB8BA7F","synthetic","9606","5","No","No","No","No","1"
"Synthetic Condensate 000325","76F9ED9B","synthetic","9606","4","No","No","No","No","1"
"Synthetic Condensate 000326","AF287C13","synthetic","9606","5","No","No","No","No","1"
"Synthetic Condensate 000327","28DCC277","synthetic","7227","3","No","No","No","No","1"
"Synthetic Condensate 000328","7230F6EA","synthetic","0","4","No","No","No","No","1"
